,Person_id,Survey_date,Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth,Target
72,Id_zuvbs6aihl,2022-08-08,3,unemployed,644.0,Suburb,KwaZulu-Natal,1.0,1.0,0.0,3.0,80 - 100 %,,60 - 69 %,,70 - 79 %,0,1,1995,9,0
73,Id_5fr0lqothg,2022-03-03,2,studying,,Urban,Gauteng,1.0,,1.0,5.0,,60 - 69 %,,60 - 69 %,,1,1,2000,1,1
74,Id_bol3k3wkl1,2023-02-13,4,studying,,Urban,Gauteng,1.0,,,,40 - 49 %,,50 - 59 %,,40 - 49 %,0,1,2000,1,0
75,Id_dssc0ea0vi,2023-02-08,4,unemployed,273.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,,60 - 69 %,50 - 59 %,,,0,1,2002,5,1
76,Id_0wc81ljcou,2022-03-15,2,studying,,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,40 - 49 %,,60 - 69 %,,,1,1,2000,1,1
77,Id_fg3tli4uga,2023-02-17,4,wage employed,273.0,Urban,North West,1.0,0.0,0.0,2.0,,40 - 49 %,50 - 59 %,,,1,1,1997,3,0
78,Id_j86tj7hbal,2021-08-18,1,studying,,Urban,KwaZulu-Natal,1.0,,,3.0,0 - 29 %,,70 - 79 %,,,1,1,1993,12,0
79,Id_y0o8gpsdag,2022-08-03,3,unemployed,1984.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,3.0,,,,,,1,1,1991,3,0
80,Id_n0wxp4yl7o,2022-09-03,3,unemployed,248.0,Suburb,Limpopo,1.0,0.0,0.0,2.0,,50 - 59 %,60 - 69 %,,,1,1,1998,11,0
81,Id_6xl6wv2mwd,2022-03-04,2,unemployed,798.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,60 - 69 %,,60 - 69 %,,50 - 59 %,1,1,2000,1,0
82,Id_cebpdobvqm,2023-03-27,4,wage employed,31.0,Urban,Mpumalanga,,,,,,,,,,1,1,1994,5,0
83,Id_33k4yejdu7,2022-07-29,3,studying,,Suburb,Gauteng,1.0,0.0,0.0,3.0,50 - 59 %,,,50 - 59 %,30 - 39 %,1,1,2002,9,0
84,Id_q0t88re0xa,2023-03-13,4,unemployed,429.0,Urban,Free State,,,,,,,,,,1,1,1998,10,0
85,Id_lyb0hna28v,2022-03-17,2,wage employed,95.0,Urban,Western Cape,1.0,0.0,0.0,,,40 - 49 %,,40 - 49 %,,0,1,2000,1,1
86,Id_l2m4t2nkpo,2023-02-14,4,wage employed,273.0,Rural,Gauteng,1.0,0.0,0.0,1.0,,40 - 49 %,50 - 59 %,,,0,1,2000,1,0
87,Id_p0mzggtf8f,2021-08-18,1,unemployed,974.0,Urban,KwaZulu-Natal,1.0,,,5.0,,40 - 49 %,50 - 59 %,,,1,1,1999,6,0
88,Id_m8p8fryb2z,2023-03-17,4,unemployed,1009.0,Rural,Limpopo,0.0,0.0,0.0,1.0,,,,,,1,1,1996,3,0
89,Id_0j9fh0d1jg,2023-03-20,4,unemployed,1890.0,Rural,Limpopo,,,,,,,,,,1,1,1994,5,0
90,Id_span0zo82s,2022-02-25,2,wage employed,365.0,Urban,Gauteng,1.0,0.0,0.0,4.0,30 - 39 %,,60 - 69 %,,40 - 49 %,1,1,1994,3,1
91,Id_wxgvcd5k8r,2022-03-18,2,unemployed,0.0,Suburb,Eastern Cape,1.0,0.0,0.0,1.0,30 - 39 %,,50 - 59 %,,,0,1,2000,1,1
92,Id_nz21tfi905,2023-02-13,4,unemployed,281.0,Suburb,Northern Cape,,,,,,,,,,1,1,1997,2,0
93,Id_slv6oob5n6,2022-03-14,2,unemployed,828.0,Suburb,Mpumalanga,0.0,0.0,0.0,1.0,,,,,,1,1,2000,1,0
94,Id_gsilqzgpwz,2023-02-08,4,studying,,Urban,Limpopo,,,,,,,,,,0,1,1996,9,0
95,Id_m7m162sqkw,2021-08-17,1,wage employed,0.0,Urban,Free State,1.0,,,4.0,50 - 59 %,,50 - 59 %,,40 - 49 %,0,1,1992,10,0
96,Id_b08k8p9rqu,2023-03-20,4,wage employed,61.0,Urban,Western Cape,0.0,0.0,0.0,2.0,,,,,,1,1,1999,6,1
97,Id_imrl487iyu,2021-08-11,1,wage employed,0.0,Urban,Gauteng,0.0,,,2.0,,,,,,1,1,1986,10,0
98,Id_mdqtl3vdve,2023-02-10,4,unemployed,730.0,Urban,Free State,1.0,,,2.0,,,50 - 59 %,,,0,1,2000,1,1
99,Id_xg0l2q8z58,2022-08-12,3,studying,,Urban,Gauteng,1.0,,,5.0,,,,,,1,1,2001,10,0
100,Id_oentzh28on,2023-03-06,4,studying,,Rural,Eastern Cape,1.0,0.0,0.0,1.0,60 - 69 %,,60 - 69 %,,40 - 49 %,0,1,2001,4,0
101,Id_o3nd90871r,2022-02-25,2,wage employed,196.0,Urban,Free State,1.0,0.0,0.0,4.0,,60 - 69 %,50 - 59 %,,,1,1,1992,9,0
102,Id_du1ur01kqv,2023-03-14,4,unemployed,1127.0,Urban,Eastern Cape,,,,,,,,,,1,1,1989,11,1
103,Id_8cl4tp6kzu,2023-02-16,4,studying,,Urban,Gauteng,,,,,,,,,,0,1,2000,8,1
104,Id_y997h5mfq9,2022-08-08,3,unemployed,66.0,Suburb,Gauteng,0.0,0.0,0.0,,,,,,,1,1,1993,4,0
105,Id_os6gvn8cxv,2023-02-24,4,studying,,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,,60 - 69 %,,,0,1,2000,11,0
106,Id_y6jxxp2xw2,2023-02-10,4,wage employed,730.0,Urban,KwaZulu-Natal,1.0,,,,0 - 29 %,,60 - 69 %,,,0,1,2000,1,1
107,Id_9nlqytufam,2022-03-11,2,studying,,Urban,Gauteng,1.0,0.0,0.0,4.0,,30 - 39 %,40 - 49 %,,,1,1,2000,1,0
108,Id_tg1zeet3pl,2023-03-02,4,studying,,Urban,Eastern Cape,1.0,,,3.0,50 - 59 %,,50 - 59 %,,60 - 69 %,1,1,2000,1,1
109,Id_8o7nt2544q,2021-08-18,1,studying,,Rural,North West,1.0,,,3.0,,,,,,0,1,2000,1,0
110,Id_ytyrfab5z7,2022-03-01,2,unemployed,593.0,Urban,Western Cape,1.0,,1.0,2.0,,,,,,0,1,1995,5,0
111,Id_uhiox0jm99,2022-03-17,2,unemployed,1176.0,Suburb,Limpopo,1.0,,,1.0,,50 - 59 %,60 - 69 %,,,0,1,2000,1,0
112,Id_ioczu2z0yo,2023-03-23,4,studying,,Urban,Gauteng,1.0,0.0,0.0,,30 - 39 %,,60 - 69 %,,50 - 59 %,1,1,2000,4,0
113,Id_2x5345k6d5,2022-02-24,2,unemployed,339.0,Suburb,Eastern Cape,0.0,,,,,,,,,1,1,1994,5,0
114,Id_rv5old1lw3,2023-02-20,4,unemployed,36.0,Urban,Mpumalanga,1.0,0.0,0.0,5.0,40 - 49 %,,,50 - 59 %,,0,1,2003,1,0
115,Id_ux800ms4mu,2022-03-07,2,studying,,Urban,KwaZulu-Natal,,,,,,,,,,0,1,2000,1,0
116,Id_kwc72kzbl5,2022-03-07,2,unemployed,192.0,Urban,Gauteng,1.0,0.0,0.0,5.0,,40 - 49 %,,50 - 59 %,,0,1,2000,1,1
117,Id_02bh4t21tf,2022-08-08,3,unemployed,248.0,Urban,Mpumalanga,1.0,0.0,0.0,2.0,60 - 69 %,,50 - 59 %,,50 - 59 %,0,1,1997,10,0
118,Id_9ugu0dvb8c,2023-03-03,4,studying,,Urban,Free State,,,,,,,,,,0,1,2000,1,0
119,Id_cpbr0geefs,2022-08-11,3,studying,,Urban,Gauteng,1.0,0.0,0.0,,30 - 39 %,,,50 - 59 %,,0,1,2003,8,0
120,Id_hpwytdr9ri,2023-03-01,4,unemployed,1247.0,Rural,Limpopo,0.0,0.0,0.0,1.0,,,,,,1,1,2000,1,0
121,Id_cpmxadltej,2023-02-13,4,studying,,Urban,Gauteng,,,,,,,,,,0,1,1996,3,0
122,Id_8g3fz1vgok,2023-03-17,4,wage employed,30.0,Urban,Free State,1.0,0.0,0.0,3.0,,40 - 49 %,50 - 59 %,,,1,1,2002,11,0
123,Id_ed0akksn7y,2022-08-04,3,wage employed,,Urban,Gauteng,1.0,0.0,0.0,3.0,,30 - 39 %,40 - 49 %,,,0,1,2000,4,0
124,Id_jb4pmpnkup,2022-03-04,2,self employed,220.0,Urban,KwaZulu-Natal,1.0,,,3.0,,0 - 29 %,50 - 59 %,,,1,1,2000,1,1
125,Id_fmvc4o7h6h,2023-03-01,4,unemployed,64.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,1.0,,30 - 39 %,30 - 39 %,,,0,1,2001,3,0
126,Id_54xa1mc4c3,2022-03-10,2,wage employed,149.0,Urban,Northern Cape,1.0,,,1.0,,30 - 39 %,60 - 69 %,,,1,1,2000,1,0
127,Id_sfpm3f4y4m,2023-02-10,4,studying,,Urban,Gauteng,1.0,0.0,0.0,,30 - 39 %,,,70 - 79 %,,1,1,2000,1,0
128,Id_87qtey7w9s,2022-03-07,2,wage employed,120.0,Rural,KwaZulu-Natal,1.0,,,4.0,0 - 29 %,,60 - 69 %,,,0,1,1997,4,0
129,Id_g64eq59hz7,2023-02-14,4,unemployed,67.0,Urban,Limpopo,1.0,0.0,0.0,3.0,,30 - 39 %,40 - 49 %,,,0,1,1999,11,0
130,Id_8j8nr07g99,2022-03-18,2,studying,,Urban,Mpumalanga,1.0,0.0,0.0,3.0,50 - 59 %,,60 - 69 %,,40 - 49 %,0,1,2000,1,1
131,Id_a5vor8sxnj,2022-08-02,3,employment programme,,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,,40 - 49 %,40 - 49 %,,0 - 29 %,1,1,1995,6,0
132,Id_f6u8sivl4x,2023-03-15,4,studying,,Urban,Limpopo,1.0,0.0,0.0,,30 - 39 %,,60 - 69 %,,30 - 39 %,1,1,2000,7,0
133,Id_klk5e034bg,2022-08-04,3,wage employed,,Urban,Gauteng,1.0,0.0,0.0,3.0,,40 - 49 %,40 - 49 %,,,1,1,1993,3,0
134,Id_9ymbrjd7yv,2022-03-02,2,studying,,Urban,Gauteng,1.0,0.0,0.0,3.0,,,,,,0,1,2002,12,0
135,Id_v7imqdu1a0,2022-02-28,2,unemployed,1524.0,Urban,KwaZulu-Natal,1.0,,,1.0,,,,,,0,1,1993,11,0
136,Id_1vpzdseya7,2023-03-13,4,studying,,Urban,Gauteng,,,,,,,,,,1,1,1995,5,1
137,Id_fzyfniagnj,2022-02-25,2,wage employed,3165.0,Suburb,Free State,1.0,,1.0,1.0,,40 - 49 %,40 - 49 %,,,1,1,1990,9,0
138,Id_lesx0bkcgl,2023-02-13,4,unemployed,36.0,Urban,Gauteng,1.0,0.0,1.0,1.0,,60 - 69 %,70 - 79 %,,,0,1,2000,1,0
139,Id_o7ojzf8kcu,2022-09-03,3,unemployed,1193.0,Urban,Western Cape,0.0,,1.0,5.0,,,,,,0,1,1994,4,0
140,Id_hiepq1djfa,2022-08-02,3,other,,Suburb,Eastern Cape,1.0,0.0,0.0,3.0,,40 - 49 %,60 - 69 %,,,1,1,2003,4,1
141,Id_8en7brkkzi,2023-03-14,4,studying,,Urban,Limpopo,1.0,0.0,0.0,3.0,,30 - 39 %,50 - 59 %,,,1,1,2000,8,0
142,Id_2evca1q7rz,2022-03-02,2,unemployed,54.0,Suburb,Gauteng,,,,,,,,,,0,1,1999,11,0
143,Id_ebg3otm6is,2022-08-15,3,studying,,Urban,Free State,1.0,0.0,0.0,,0 - 29 %,,40 - 49 %,,0 - 29 %,1,1,1998,7,0
144,Id_p48tmrtufp,2023-02-16,4,studying,,Urban,Western Cape,,,,,,,,,,0,1,1999,11,0
145,Id_xkm8wetom9,2022-03-16,2,unemployed,1160.0,Rural,Limpopo,1.0,,,1.0,30 - 39 %,,60 - 69 %,,40 - 49 %,1,1,2000,1,0
146,Id_hpzj6qszld,2023-02-14,4,studying,,Suburb,Mpumalanga,0.0,,,,,,,,,0,1,2002,8,0
147,Id_nelyndpx1o,2023-03-22,4,studying,,Urban,Limpopo,1.0,0.0,0.0,1.0,30 - 39 %,,70 - 79 %,,40 - 49 %,1,1,2004,2,0
148,Id_kgg71hspst,2023-02-16,4,unemployed,1163.0,Urban,KwaZulu-Natal,1.0,,,,,30 - 39 %,40 - 49 %,,,0,1,2000,1,0
149,Id_bvbqhxwkz7,2023-02-20,4,unemployed,1497.0,Urban,Free State,1.0,0.0,0.0,1.0,,40 - 49 %,50 - 59 %,,,0,1,1997,4,0
150,Id_kquffoz1v9,2022-08-02,3,wage employed,,Urban,North West,,,,,,,,,,1,1,1988,7,0
151,Id_4sudgrh3bb,2022-08-12,3,unemployed,1313.0,Urban,Eastern Cape,1.0,,,,40 - 49 %,,40 - 49 %,,30 - 39 %,0,1,1995,9,0
152,Id_8jac2rg92m,2022-09-03,3,other,,Urban,Eastern Cape,1.0,,,3.0,,40 - 49 %,50 - 59 %,,,1,1,1999,12,1
153,Id_a759mujfwe,2023-02-13,4,studying,,Urban,Free State,1.0,1.0,0.0,1.0,80 - 100 %,,60 - 69 %,,80 - 100 %,0,1,2000,1,0
154,Id_ic9nhiy918,2022-08-01,3,unemployed,614.0,Urban,Free State,,,,,,,,,,0,1,1999,1,0
155,Id_7b65639eg4,2022-08-10,3,unemployed,828.0,Suburb,Gauteng,1.0,0.0,0.0,3.0,,30 - 39 %,60 - 69 %,,,1,1,1986,11,0
156,Id_plvfd3ejqk,2022-03-02,2,wage employed,75.0,Urban,Free State,1.0,,,4.0,,50 - 59 %,50 - 59 %,,,0,1,2002,7,0
157,Id_4zwewy8i7s,2023-02-21,4,unemployed,5.0,Suburb,KwaZulu-Natal,,,,,,,,,,0,1,1993,11,0
158,Id_sxegilvrhi,2023-02-13,4,unemployed,311.0,Urban,KwaZulu-Natal,1.0,,,,0 - 29 %,,40 - 49 %,,30 - 39 %,0,1,2000,1,0
159,Id_2sdunljhqo,2022-02-25,2,studying,,Urban,Gauteng,,,,,,,,,,0,1,2003,1,0
160,Id_v7ro6ibymz,2022-03-08,2,unemployed,2801.0,Urban,KwaZulu-Natal,1.0,,,3.0,50 - 59 %,,60 - 69 %,,0 - 29 %,0,1,1986,4,1
161,Id_2q9ljt9ubm,2022-03-09,2,unemployed,1168.0,Suburb,Gauteng,1.0,0.0,0.0,1.0,30 - 39 %,,50 - 59 %,,30 - 39 %,1,1,1999,12,0
162,Id_cztc0vrkma,2023-02-09,4,unemployed,432.0,Urban,Limpopo,1.0,0.0,0.0,2.0,,30 - 39 %,60 - 69 %,,,1,1,1995,12,0
163,Id_3y0kfdsjzv,2023-03-16,4,unemployed,64.0,Urban,Mpumalanga,0.0,0.0,0.0,1.0,,,,,,1,1,1998,9,0
164,Id_dmsras036v,2023-03-22,4,unemployed,795.0,Suburb,Limpopo,0.0,0.0,0.0,3.0,,,,,,1,1,1991,5,0
165,Id_t1va2k91dz,2022-08-01,3,wage employed,,Rural,Mpumalanga,1.0,0.0,0.0,4.0,,30 - 39 %,50 - 59 %,,,1,1,1997,8,0
166,Id_fjjvmufhrh,2022-03-01,2,unemployed,1066.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,0.0,0 - 29 %,,,40 - 49 %,30 - 39 %,0,1,1992,8,1
167,Id_rrozp4a5v1,2021-08-18,1,wage employed,0.0,Urban,Gauteng,0.0,,,3.0,,,,,,0,1,1992,9,0
168,Id_fz5vs1laqb,2023-02-08,4,unemployed,36.0,Urban,Limpopo,1.0,1.0,0.0,2.0,0 - 29 %,,60 - 69 %,,,1,1,1999,4,0
169,Id_pgszt2mipn,2022-03-15,2,wage employed,760.0,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,,50 - 59 %,,30 - 39 %,1,1,2000,1,0
170,Id_uipdhqs8dx,2023-02-09,4,unemployed,1407.0,Rural,North West,0.0,0.0,0.0,3.0,,,,,,0,1,1996,11,0
