,Unnamed: 0,Person_id,Survey_date,Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth
86,86,Id_ckz41r5xnd,2022-08-10,3,studying,,Urban,KwaZulu-Natal,1.0,0.0,0.0,0.0,40 - 49 %,,50 - 59 %,,40 - 49 %,1,1,2000,10
87,87,Id_0lddi6fymp,2021-08-18,1,studying,,Urban,Gauteng,1.0,,,,,0 - 29 %,50 - 59 %,,,0,1,1999,1
88,88,Id_qb6cvsj6d1,2023-03-15,4,wage employed,156.0,Rural,Limpopo,1.0,0.0,0.0,,,30 - 39 %,50 - 59 %,,,1,1,2000,9
89,89,Id_mevy3q7025,2022-02-28,2,wage employed,122.0,Urban,Free State,1.0,0.0,0.0,,,30 - 39 %,40 - 49 %,,,1,1,2000,2
90,90,Id_4f18c92qin,2023-02-20,4,wage employed,61.0,Urban,Mpumalanga,0.0,0.0,0.0,4.0,,,,,,0,1,2000,4
91,91,Id_70u1j9yxhw,2023-02-13,4,wage employed,91.0,Urban,Gauteng,,,,,,,,,,0,1,1994,2
92,92,Id_gmoiyj02t8,2023-02-08,4,unemployed,67.0,Urban,Eastern Cape,0.0,0.0,0.0,3.0,,,,,,0,1,1996,7
93,93,Id_eui0etibtj,2023-02-10,4,unemployed,1065.0,Suburb,Limpopo,,,,,,,,,,1,1,1997,6
94,94,Id_ml0shy5ndd,2022-08-05,3,studying,,Urban,Mpumalanga,1.0,0.0,0.0,,,30 - 39 %,40 - 49 %,,,0,1,2001,9
95,95,Id_ec2sjwcz91,2023-03-01,4,unemployed,95.0,Rural,North West,1.0,0.0,0.0,3.0,,30 - 39 %,50 - 59 %,,,0,1,2000,8
96,96,Id_rjahjm0hug,2022-08-08,3,wage employed,,Urban,Western Cape,1.0,0.0,0.0,2.0,,40 - 49 %,60 - 69 %,,,1,1,2002,11
97,97,Id_abyqg3tash,2023-03-01,4,unemployed,1525.0,Urban,Gauteng,1.0,0.0,0.0,1.0,,30 - 39 %,50 - 59 %,,,1,1,2000,1
98,98,Id_lzos5ypdrm,2023-02-15,4,unemployed,365.0,Urban,Western Cape,1.0,0.0,0.0,5.0,,50 - 59 %,,50 - 59 %,,1,1,2001,12
99,99,Id_kdvnff0zsh,2022-08-04,3,other,,Urban,Gauteng,1.0,1.0,0.0,5.0,40 - 49 %,,,50 - 59 %,50 - 59 %,1,1,1998,5
100,100,Id_86b4m22rpu,2023-02-16,4,wage employed,0.0,Urban,Free State,1.0,0.0,0.0,1.0,30 - 39 %,,40 - 49 %,,0 - 29 %,1,1,1999,4
101,101,Id_x2hp46jgt7,2023-02-17,4,unemployed,401.0,Suburb,KwaZulu-Natal,,,,,,,,,,0,1,2002,7
102,102,Id_zpp3md8ezd,2023-02-07,4,wage employed,426.0,Urban,Gauteng,0.0,0.0,0.0,,,,,,,0,1,1995,7
103,103,Id_e3b7m1pivk,2022-03-15,2,unemployed,64.0,Urban,Gauteng,1.0,,,,,50 - 59 %,60 - 69 %,,30 - 39 %,1,1,2000,1
104,104,Id_ylj1j29c2t,2023-02-09,4,unemployed,767.0,Urban,Free State,1.0,0.0,0.0,4.0,,40 - 49 %,40 - 49 %,,,0,1,1998,10
105,105,Id_4mqpa30io0,2021-08-18,1,unemployed,580.0,Urban,Eastern Cape,1.0,,,3.0,,,,,,1,1,1994,6
106,106,Id_gb6gbddvde,2023-02-14,4,unemployed,36.0,Urban,Eastern Cape,1.0,0.0,0.0,,,40 - 49 %,,40 - 49 %,,0,1,2002,11
107,107,Id_33q9kspnhl,2023-03-08,4,unemployed,5.0,Urban,Gauteng,1.0,0.0,0.0,4.0,50 - 59 %,,60 - 69 %,,50 - 59 %,1,1,2004,6
108,108,Id_spcfhi9ani,2022-08-04,3,other,,Rural,Mpumalanga,1.0,,,3.0,,,,,,1,1,1998,11
109,109,Id_3xhfl2dkwc,2023-03-23,4,unemployed,735.0,Urban,North West,0.0,0.0,0.0,1.0,,,,,,1,1,1994,10
110,110,Id_capl79l0ck,2023-02-09,4,wage employed,153.0,Urban,Gauteng,1.0,0.0,1.0,0.0,40 - 49 %,,60 - 69 %,,30 - 39 %,1,1,1999,10
111,111,Id_hize5ozuc7,2023-02-22,4,wage employed,882.0,Urban,Gauteng,,,,,,,,,,0,1,1995,12
112,112,Id_9e595qehvb,2022-08-05,3,wage employed,,Rural,Mpumalanga,1.0,0.0,0.0,2.0,,50 - 59 %,40 - 49 %,,,0,1,2000,4
113,113,Id_mv3bdtgvrm,2022-03-18,2,studying,,Suburb,KwaZulu-Natal,1.0,0.0,0.0,,,40 - 49 %,50 - 59 %,,,0,1,2000,1
114,114,Id_sh6y5sognb,2021-08-11,1,studying,,Urban,Gauteng,1.0,,,1.0,,30 - 39 %,40 - 49 %,,,1,1,1995,12
115,115,Id_otoztzpre0,2022-08-11,3,studying,,Urban,Gauteng,0.0,0.0,0.0,4.0,,,,,,1,1,1995,1
116,116,Id_7lrax702sw,2022-03-14,2,unemployed,1173.0,Urban,Mpumalanga,0.0,,,4.0,,,,,,1,1,2000,1
117,117,Id_2yyc8cscz1,2023-02-06,4,unemployed,981.0,Rural,Gauteng,1.0,0.0,0.0,3.0,,30 - 39 %,50 - 59 %,,,1,1,1999,7
118,118,Id_hko3gz0dk7,2021-08-18,1,other,,Urban,Gauteng,1.0,0.0,0.0,3.0,,70 - 79 %,,50 - 59 %,,0,1,1990,12
119,119,Id_wk20cknod9,2023-02-06,4,studying,,Rural,North West,0.0,0.0,0.0,2.0,,,,,,0,1,2000,1
120,120,Id_v021qhmpjd,2022-03-14,2,unemployed,18.0,Urban,Gauteng,1.0,,,3.0,30 - 39 %,,70 - 79 %,,40 - 49 %,1,1,2000,1
121,121,Id_hqsrc0tikc,2023-03-06,4,studying,,Urban,Gauteng,1.0,0.0,0.0,1.0,,50 - 59 %,50 - 59 %,,,1,1,2002,4
122,122,Id_c4emke5y04,2022-02-23,2,unemployed,2958.0,Urban,Gauteng,0.0,,,,,,,,,1,1,1982,6
123,123,Id_t3352uxc4i,2023-03-06,4,studying,,Urban,Gauteng,,,,,,,,,,1,1,2004,5
124,124,Id_5z20x5e83v,2023-02-08,4,self employed,,Urban,Free State,1.0,0.0,0.0,3.0,,30 - 39 %,30 - 39 %,,,0,1,2000,1
125,125,Id_qdcud0yly8,2022-02-25,2,studying,,Urban,Free State,1.0,0.0,0.0,1.0,,30 - 39 %,40 - 49 %,,,1,1,2000,4
126,126,Id_ww8zw7ae8a,2023-02-16,4,unemployed,1132.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,,40 - 49 %,60 - 69 %,,,1,1,2001,7
127,127,Id_1y41yyh09p,2022-08-10,3,wage employed,59.0,Urban,North West,1.0,0.0,0.0,4.0,50 - 59 %,,,60 - 69 %,,0,1,1997,6
128,128,Id_6gmks7pmqr,2023-02-08,4,wage employed,577.0,Urban,Gauteng,1.0,,,,,30 - 39 %,60 - 69 %,,,1,1,2000,1
129,129,Id_hm2hws8vmx,2022-03-03,2,wage employed,32.0,Urban,Western Cape,,,,,,,,,,1,1,2000,1
130,130,Id_ffwi6hx95x,2023-02-17,4,unemployed,220.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,0 - 29 %,,60 - 69 %,,50 - 59 %,1,1,1998,7
131,131,Id_wp4xaj2x44,2023-03-24,4,wage employed,61.0,Urban,Eastern Cape,,,,,,,,,,1,1,2000,1
132,132,Id_q9w6fjzuva,2022-08-12,3,wage employed,127.0,Rural,KwaZulu-Natal,1.0,,1.0,5.0,,,,,,0,1,1993,4
133,133,Id_4hi7as50nt,2023-03-03,4,unemployed,795.0,Urban,Gauteng,1.0,0.0,0.0,,,30 - 39 %,50 - 59 %,,,1,1,2000,1
134,134,Id_e9mdtbubkh,2023-03-17,4,unemployed,64.0,Urban,Mpumalanga,,,,,,,,,,1,1,1992,4
135,135,Id_if24ufm5uj,2022-08-10,3,studying,,Urban,KwaZulu-Natal,1.0,,,5.0,,,,,,0,1,2001,9
136,136,Id_68ii10j2y5,2023-02-27,4,unemployed,1862.0,Suburb,Eastern Cape,0.0,0.0,0.0,3.0,,,,,,0,1,1996,10
137,137,Id_cba8vbwfcd,2021-08-18,1,studying,,Urban,KwaZulu-Natal,1.0,1.0,,3.0,,,,,,0,1,1998,2
138,138,Id_5va26rv1po,2023-03-15,4,unemployed,429.0,Urban,Northern Cape,1.0,0.0,0.0,,,,60 - 69 %,,,1,1,2002,11
139,139,Id_h2u5uz2c1i,2023-03-13,4,studying,,Rural,Eastern Cape,1.0,0.0,0.0,3.0,,30 - 39 %,40 - 49 %,,,1,1,2003,10
140,140,Id_oi4y3y2j24,2023-02-08,4,self employed,,Urban,Gauteng,,,,,,,,,,0,1,1993,9
141,141,Id_if7xxvy5sy,2022-03-01,2,unemployed,1525.0,Urban,Gauteng,1.0,,,3.0,,40 - 49 %,50 - 59 %,,,0,1,1998,2
142,142,Id_ul1tzww8yo,2022-03-18,2,studying,,Urban,KwaZulu-Natal,1.0,1.0,0.0,2.0,,60 - 69 %,50 - 59 %,,,0,1,2000,1
143,143,Id_g1zdjwg70b,2022-03-07,2,studying,,Rural,Eastern Cape,1.0,,1.0,1.0,,30 - 39 %,30 - 39 %,,,0,1,2000,1
144,144,Id_ymo26re9kq,2022-08-15,3,wage employed,,Suburb,North West,1.0,,1.0,3.0,,,40 - 49 %,,,0,1,1987,10
145,145,Id_7i4g0dgq3g,2023-02-17,4,wage employed,2221.0,Suburb,Gauteng,1.0,0.0,0.0,2.0,,70 - 79 %,70 - 79 %,,,0,1,1990,12
146,146,Id_dtd4wertk3,2023-02-22,4,unemployed,5.0,Urban,Free State,1.0,0.0,0.0,,,40 - 49 %,40 - 49 %,,,0,1,1993,6
147,147,Id_eduju9teke,2022-02-25,2,studying,,Rural,Eastern Cape,1.0,1.0,0.0,3.0,0 - 29 %,,60 - 69 %,,40 - 49 %,1,1,1997,9
148,148,Id_qua5ppnddr,2022-07-28,3,studying,,Urban,Gauteng,1.0,0.0,0.0,,,30 - 39 %,40 - 49 %,,,0,1,2002,2
149,149,Id_pgaf0nxrml,2023-02-10,4,wage employed,30.0,Rural,Limpopo,,,,,,,,,,0,1,2000,3
150,150,Id_mfkzmksvk8,2022-03-01,2,wage employed,103.0,Urban,Western Cape,1.0,0.0,0.0,5.0,0 - 29 %,,,40 - 49 %,0 - 29 %,0,1,1994,2
151,151,Id_xae7uo6rns,2022-08-12,3,studying,,Urban,Gauteng,1.0,,,2.0,80 - 100 %,,70 - 79 %,,70 - 79 %,0,1,1998,7
152,152,Id_bg0pf0x0c9,2023-02-08,4,wage employed,30.0,Urban,Limpopo,1.0,0.0,0.0,3.0,,30 - 39 %,40 - 49 %,,,0,1,1994,3
153,153,Id_gqy88jh41f,2022-02-23,2,unemployed,663.0,Urban,Gauteng,1.0,,,,30 - 39 %,,70 - 79 %,,30 - 39 %,1,1,1996,5
154,154,Id_dulraax74m,2022-03-16,2,unemployed,48.0,Urban,Gauteng,0.0,0.0,0.0,5.0,,,,,,1,1,2000,1
155,155,Id_br9w5vf3nt,2023-03-01,4,unemployed,337.0,Urban,KwaZulu-Natal,,,,,,,,,,1,1,2000,1
156,156,Id_hm4k3ett7c,2022-08-04,3,wage employed,127.0,Urban,KwaZulu-Natal,0.0,,,4.0,,,,,,1,1,1994,2
157,157,Id_3wbyw2qsxx,2022-03-08,2,unemployed,71.0,Urban,Northern Cape,1.0,0.0,0.0,1.0,30 - 39 %,,50 - 59 %,,30 - 39 %,0,1,1998,3
158,158,Id_nhc76gnpfv,2022-03-02,2,unemployed,1160.0,Suburb,Eastern Cape,1.0,,,1.0,,30 - 39 %,50 - 59 %,,,1,1,2000,1
159,159,Id_g37tyo68ez,2023-03-23,4,unemployed,33.0,Urban,Free State,,,,,,,,,,1,1,1988,10
160,160,Id_doy6wdfgwc,2022-08-01,3,other,,Urban,Free State,,,,,,,,,,0,1,1987,1
161,161,Id_x9qspakya3,2023-02-27,4,wage employed,153.0,Urban,Limpopo,1.0,0.0,0.0,,,30 - 39 %,40 - 49 %,,,0,1,2001,10
162,162,Id_y5ylohb28f,2022-08-11,3,unemployed,217.0,Urban,Gauteng,1.0,0.0,0.0,2.0,,40 - 49 %,50 - 59 %,,,1,1,2001,8
163,163,Id_3s41c0mnx9,2023-03-01,4,unemployed,795.0,Urban,Gauteng,,,,,,,,,,0,1,2000,9
164,164,Id_k0kz9yhugx,2022-07-28,3,studying,,Urban,Gauteng,1.0,0.0,1.0,1.0,40 - 49 %,,50 - 59 %,,,0,1,1999,8
165,165,Id_akzn45zxlg,2023-02-20,4,wage employed,852.0,Rural,KwaZulu-Natal,0.0,0.0,0.0,,,,,,,0,1,1988,11
166,166,Id_bok3v4meui,2022-03-16,2,studying,,Urban,Gauteng,,,,,,,,,,1,1,2000,1
167,167,Id_ewblr4rd31,2023-02-15,4,unemployed,97.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,,60 - 69 %,70 - 79 %,,,0,1,1991,8
168,168,Id_1f4emlzfpy,2022-08-15,3,studying,,Urban,Gauteng,1.0,0.0,0.0,2.0,,40 - 49 %,50 - 59 %,,,1,1,1997,3
169,169,Id_zac62lf0f4,2022-07-28,3,employment programme,,Urban,Gauteng,,,,,,,,,,0,1,2003,3
170,170,Id_ees03xjmrh,2023-03-08,4,studying,,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,,40 - 49 %,40 - 49 %,,,1,1,1996,9
171,171,Id_j8hi427a46,2023-02-20,4,studying,,Rural,Mpumalanga,,,,,,,,,,0,1,1997,5
172,172,Id_nozkcs7twh,2023-02-24,4,unemployed,615.0,Rural,KwaZulu-Natal,1.0,1.0,0.0,1.0,60 - 69 %,,60 - 69 %,,60 - 69 %,0,1,1996,7
173,173,Id_93odriaiv1,2021-08-17,1,wage employed,0.0,Urban,Western Cape,1.0,0.0,0.0,2.0,40 - 49 %,,50 - 59 %,,0 - 29 %,0,1,1995,2
